"logS","smiles","Category","id"
-1.7,"O=CCCCCCC","no soluble",3209
-3.699,"COc1ccc2cc(C(C)C(=O)OCCCCN3CCOCC3)ccc2c1","no soluble",2859
-0.95,"CC(=O)N(C)c1ccccc1","no soluble",932
-4.88,"CC(C)N(C(=O)SCC(Cl)=C(Cl)Cl)C(C)C","no soluble",459
-2.35,"CC(C)C1CCC(C)CC1=O","no soluble",4169
-4.82,"O=C(O)C(c1ccc(cc1)N3C(=O)c2ccccc2C3)C","no soluble",4768
-2.6565,"Oc1ccc(I)cc1","no soluble",1810
-1.66,"COC(=O)c1ccccc1C(=O)OC","no soluble",1270
-2.369,"O=C1NC(=O)NC(=O)C1(CC=C)c1ccccc1","no soluble",4161
-2.06,"C=CCC1(CC=C)C(=O)NC(=O)NC1=O","no soluble",804
-10.41,"Clc1cc(Cl)c(Cl)c(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c1Cl","no soluble",241
-4.634,"CCN2c1ncccc1N(C)C(=S)c3cccnc23 ","no soluble",4562
-4.151,"CC(=O)Nc1ccc(S(=O)(=O)Nc2nc(C)cs2)cc1","no soluble",2335
-5.88,"CCCCCCCCC","no soluble",135
-0.22,"CC[N+](=O)[O-]","soluble",895
-0.77,"N#CC(OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)c1ccccc1","no soluble",915
-3.28,"c1c(OC)[nH0][nH0]c(c1)N[S+2]([O-])(c1ccc(cc1)N)[O-]","no soluble",3464
-0.62,"[O-][N+](C(C)C)=O","no soluble",3797
-2.87,"CC1c2cccc(O)c2C(=O)C2=C(O)C3(O)C(=O)C(C(N)=O)=C(O)C(N(C)C)C3C(O)C21","no soluble",908
-4.4,"Brc1ccc2ccccc2c1","no soluble",12
-1.46,"Cc1c[nH]c(=O)nc1N","no soluble",778
-2.6892,"CC1=C(CC(=O)O)c2cc(F)ccc2C1=Cc1ccc(S(C)=O)cc1","no soluble",1841
-2.82,"c1c(C)c[nH0]c([nH0]1)N[S+2]([O-])(c1ccc(cc1)N)[O-]","no soluble",3954
-8.65,"Clc1ccc(Cl)c(-c2c(Cl)ccc(Cl)c2Cl)c1Cl","no soluble",319
-3.09,"CC1=C2C3OC(=O)C(C)C3CCC2(C)C=CC1=O","no soluble",1104
-0.66,"O=C(N)OCCCC","no soluble",3062
-2.32,"Nc1ccc(S(=O)(=O)Nc2ccnn2-c2ccccc2)cc1","no soluble",1634
-4.796,"CCCCCCCCCCC(C)(C)C(=O)NO","no soluble",2226
-0.72,"CC(C(C)(C)O)(C)C","no soluble",3071
-3.39,"CCCCCCCC(=O)OC","no soluble",1280
-0.495,"CC(=O)N(C)C(=O)COC(=O)c1ccccc1","soluble",2748
-0.53,"O=C(C(Cc1c[nH]c[nH0]1)N)O","no soluble",3054
-3.369,"CCOc1ccccc1C(=O)N(O)c1ccccc1","no soluble",2430
-2.621,"CCOC(=O)c1[nH]c(C)cc1C","no soluble",1870
-0.97,"Nc1nc(=O)[nH]cc1F","no soluble",562
-0.922,"O=C(NCCCCCCNC(=O)OCCO)OCCO","no soluble",2061
-2.28,"COP(=O)(OC)OC(Br)C(Cl)(Cl)Br","no soluble",33
-1.917,"CCC1(C)NC(=O)C(C)(CC)NC1=O","no soluble",1913
-0.3,"CC(C)COC(N)=O","soluble",1019
-1.64,"C1=C(C(=O)NC(=O)N1)[N+](=O)[O-]","no soluble",4841
-0.67,"CCC(C)C(=O)C","no soluble",4631
-5.27,"O=C(C)C1(C)CCC2C3C=C(C)C4=CC(CCC4(C)C3CCC12C)=O","no soluble",3662
0.51,"O=C(CC(O)(CC(O)=O)C(O)=O)O","soluble",3766
-2.77,"Sc1ncc2nccnc2n1","no soluble",1596
-4.706,"CCN2c1ccccc1N(C)C(=S)c3cccnc23 ","no soluble",4463
-4.11,"CC1CCCCC1NC(=O)Nc1ccccc1","no soluble",1044
-4.31,"COc1ccc2ccc(=O)oc2c1CC=C(C)C","no soluble",1095
-2.07,"S1c2cccc(C)c2[nH0]2c1[nH0][nH0]c2","no soluble",3891
0.504,"CN(C)C(=O)CCC(=O)N(C)C","soluble",2727
-1.2,"[nH0]1c(C)cc(c2ccccc21)O","no soluble",3825
-0.72,"Nc1ccccc1O","no soluble",958
-2.64,"CN(C)CCN(Cc1ccccc1)c1cccc[nH0]1","no soluble",3374
-2.63,"CCC(Cl)CC","no soluble",515
-4.4,"C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])Cl","no soluble",4855
-3.246,"COC1=CC(=O)CC(C)C13Oc2c(Cl)c(OC)cc(OC)c2C3=O","no soluble",4699
-3.604,"OC3N=C(c1ccccc1Cl)c2cc(Cl)ccc2NC3=O","no soluble",4602
-2.64,"CN(C)CCN(Cc1ccccc1)c1ccccn1","no soluble",921
-9.15,"Clc1cc(Cl)c(Cl)c(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl ","no soluble",4152
-2.594,"NS(=O)(=O)c1cc2c(s1)SCCC2O","no soluble",2655
1.13,"CNC(N)=O","soluble",1061
-1.89,"O=C(O)c1ccccc1Cl","no soluble",367
-7.92,"C1c2c(C)ccc3cc4c5c(ccc4c(c23)C1)cccc5","no soluble",3738
-1.95,"CN(C)C(=O)Oc1nc(nc(C)c1C)N(C)C","no soluble",4381
-2.18,"CCCCNC(=O)NS(=O)(=O)c1ccc(N)cc1","no soluble",1647
-1.23,"OCC1OC(C(O)C1O)n2cnc3c(O)ncnc23","no soluble",4183
-1.62,"O=C(NC)ON=C(C(C)(C)C)CSC","no soluble",3196
-1.658,"CCOc1ccc(N(C)C(N)=O)cc1","no soluble",2394
-0.74,"c1c(CCO)cccc1","no soluble",3801
0.46,"N#CCCN(CCC#N)CC(=O)O","soluble",2031
-0.72,"CC(C)(C)C(C)(C)O","no soluble",1392
-2.73,"CCC(=C)C","no soluble",4468
-7.32,"CC1COC2CC3(C)C(CC4C5C=C6CC(O)CCC6(C)CC5CCC43C)OC2C1","no soluble",1107
-5.4,"O=C1C2CC=CCC2C(=O)N1SC(Cl)(Cl)C(Cl)Cl","no soluble",484
-0.92,"CC(O)c1ccccc1","no soluble",1467
-4.357,"COc1ccc([N+](=O)[O-])c2ccccc12","no soluble",2094
-3.092,"CN1CCC(=C2c3ccccc3C=Cc3ccccc32)CC1","no soluble",2450
-1.16,"O=C1NC(=O)NC(=O)C1(C)CC=C","no soluble",4248
-1.78,"O=C(C)Nc1ccc(cc1)F","no soluble",3225
-3.049,"COC(=O)c1ccc(N(C)C)cc1","no soluble",2208
-2.641,"CCC1(c2ccccc2)NC(=O)NC1=O","no soluble",2847
-6.62,"Clc1ccc(C(c2ccccc2Cl)C(Cl)(Cl)Cl)cc1","no soluble",474
-1.63,"O=Cc1ccc2c(c1)OCO2","no soluble",1124
-4.15,"Fc2cc(ccc2c1ccccc1)C(C(=O)O)C","no soluble",4756
-0.5,"CC(C)(C)CCO","soluble",1414
-2.88,"C1=C(C=C(C=C1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]","no soluble",4858
-6.96,"Cc1ccc2cc3ccccc3cc2c1","no soluble",188
-1.8828,"NS(=O)(=O)c1ccc(C(=O)c2cccc(CN3CCOCC3)c2)s1","no soluble",2931
-4.63,"CCOC(=O)Nc1cccc(OC(=O)Nc2ccccc2)c1","no soluble",1026
-0.54,"OCC(CC)C(CCC)O","no soluble",3055
-4.4,"CCCCOC(=O)c1ccccc1C(=O)OCCCC ","no soluble",4277
-4.169,"CC(C)=NNC(=O)NC1c2ccccc2Oc2ccccc21","no soluble",2331
-8.1,"Clc1cc(Cl)c(Oc2ccc(Cl)c(Cl)c2Cl)c(Cl)c1","no soluble",1717
-3.68,"CC34CC(O)C1(F)C(CCC2=CC(=O)C=CC12C)C3CC(O)C4(O)C(=O)CO","no soluble",4153
-3.006,"O=C(O)c1ccccc1C(=O)c1ccc(Br)cc1","no soluble",2234
-1.45,"CCCCCC(=O)C","no soluble",4539
-3.38,"CCC(C)c1cc(cc(N(=O)=O)c1O)N(=O)=O ","no soluble",4489
-3.14,"c1c(NC(=O)C2=C(OCCS2)C)cccc1","no soluble",3443
-6.01,"Clc1cccc(c1)c2cc(Cl)ccc2Cl ","no soluble",4164
-1.386,"OC(c1ccccc1)(c1ccccc1)C1CCNCC1","no soluble",2477
-3.411,"COc1c(O)c(OC)c(Cl)c(Cl)c1Cl","no soluble",2413
-3.39,"O=C(CCCCCCC)OC","no soluble",3482
-1.53,"C1=C(C=C(C(=C1[N+](=O)[O-])O)[N+](=O)[O-])[N+](=O)[O-]","no soluble",4859
-1.58,"C(=N)(N)N[N+](=O)[O-]","no soluble",4827
-0.4,"O=C1C(=O)NC(N1)=O","soluble",3785
-5.53,"CCCCN(CC)c1c(cc(cc1N(=O)=O)C(F)(F)F)N(=O)=O","no soluble",4575
0.58,"COC=O","soluble",1269
-4.92,"Nc1ccc(-c2ccc(N)c(Cl)c2)cc1Cl","no soluble",328
-3.21,"Clc1cccc(Br)c1","no soluble",16
-2.369,"CCSC(=O)N1CCCCCC1","no soluble",1867
-4.43,"COP(=S)(OC)SCC(=O)N(c1ccc(Cl)cc1)C(C)C","no soluble",419
0.009,"CC(=O)NC(Cc1ccc(O)cc1)C(=O)O","soluble",2291
-2.957,"OC(=S)COc1cc(Cl)c(Cl)cc1Cl","no soluble",2427
-1.092,"CCN(CC)NC(=O)Nc1c(C)cccc1C","no soluble",2476
-6.01,"CCC(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C21","no soluble",1129
-4.58,"CC(C)(C)C(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)C=CC4(C)C3C(O)CC21C","no soluble",1323
-6.39,"Clc1ccc(cc1Cl)c2ccccc2 ","no soluble",4334
-2.54,"Oc1cccc2ncccc12","no soluble",623
-2.686,"COc1ccc(CCNC(=O)CNc2cccc(C(N)=O)c2)cc1OC","no soluble",2646
-1.454,"C#CCC(NC(=O)OC(C)(C)C)C(=O)NCC(=O)OC","no soluble",2536
-4.58,"O=C(COC(C(C)(C)C)=O)C1(CCC2C3CCC4=CC(C=CC4(C)C3C(CC12C)O)=O)O","no soluble",4059
-4.4492,"Cc1ccc(C(=O)c2ccc(S(N)(=O)=O)s2)cc1","no soluble",2952
-1.488,"O=c1cc[nH]c(=O)[nH]1 ","no soluble",4293
-2.654,"Cc1ccc2c(c1)C=CS2(=O)=O","no soluble",1864
-1.331,"NS(=O)(=O)c1cc2cc(CNCc3ccccn3)sc2o1","no soluble",2648
-2.07,"O=C(O)Cc1c2c([nH]c1)cccc2","no soluble",3270
-1.41,"Cc1c(C)cc(cc1)O","no soluble",3839
-3.328,"COc1ccc2cc(C(C)C(=O)OCCO)ccc2c1","no soluble",2769
-0.94,"O=C1CCCCC1C","no soluble",3812
-0.83,"[O-][S+](CC=C)SCC=C","no soluble",3087
-2.016,"CCC(C)C1(CC=C)C(=O)NC(=O)NC1=O","no soluble",4269
-5.592,"c1ccc2c(c1)Nc1ccccc1S2","no soluble",1901
-1.48,"O=C1C=CNC(=O)N1","no soluble",3848
1,"CN1CCCC1=O","soluble",682
-1.95,"OC1C(C([nH0]2ccc3c(N)[nH0]c[nH0]c32)OC1CO)O","no soluble",3877
-0.617,"COC(=O)C(NC(=O)C(Cl)Cl)C(C)O","no soluble",2741
-4.066,"O=C(O)c1ccc(P(=O)(O)c2ccccc2)cc1","no soluble",2334
-5.593,"COc1ccc2cc(C(C)C(=O)OC3CCCCC3=O)ccc2c1","no soluble",2781
-4.6,"o1c2ccccc2c3ccccc13","no soluble",4303
-0.01,"CCCC=O","soluble",1293
-4.398,"COC1=CC(=O)C2(Oc3c(Cl)c(OC)cc(OC)c3C2=O)C(C)C1","no soluble",2885
-4.07,"CCC(=C(CC)c1ccc(O)cc1)c2ccc(O)cc2 ","no soluble",4174
-2.91,"Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C","no soluble",1636
-0.46,"CCCNCCC","soluble",1050
-4.63,"Clc1c(Cl)c(cc(c1)Cl)Cl","no soluble",3619
-2.03,"CC(=C)C=C","no soluble",3887
-4.83,"Clc1ccc(cc1Cl)[C@H]3c2c(cccc2)[C@@H](NC)CC3","no soluble",4749
-1.6449,"CCCCNCc1ccc(S(=O)(=O)c2ccc(S(N)(=O)=O)s2)cc1","no soluble",2939
-3.18,"Sc2nc1ccccc1s2 ","no soluble",4450
-3.24,"C=CCC(C)C","no soluble",213
-3.4,"C=CCCCCCCCCC(=O)O","no soluble",1500
-1,"CCCC(C)(O)CC","no soluble",1396
-1.815,"CCCCC(=O)NCCNC(=O)CCCC","no soluble",2040
0.309,"CC(C)CC(N)C(=O)NCC(=O)NCC(=O)O","soluble",2007
-2.27,"Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1","no soluble",1623
-4.6,"c1c2cccc(N=C=S)c2ccc1","no soluble",3613
-1.983,"Cc1cc(C(=O)CC(C)C)ccc1O","no soluble",2382
-1.523,"CC(=O)OC1C(C2COC(C)(C)O2)OC2OC(C)(C)OC21","no soluble",2428
-1.89,"CCOC(=O)C1(c2ccccc2)CCN(C)CC1","no soluble",681
-5.15,"CCN1c2cc(OC)cc(C)c2NC(=O)c2cccnc21","no soluble",656
-3.125,"O=c1cnc2[nH]c(=O)[nH]c(=O)c2[nH]1","no soluble",2077
-1.971,"NNC(=O)c1ccc([N+](=O)[O-])s1","no soluble",2013
-2.52,"OC(Cc1ccccc1)c1ccccc1","no soluble",1450
-0.85,"CN(C)C(=O)OC1=CC(=O)CC(C)(C)C1","no soluble",948
-4,"Cc1c(C)c(C)cc(C)c1C","no soluble",4025
-1.803,"c1ccccc1(OC(=O)NC)","no soluble",4330
-0.19,"CCCC(=O)C","soluble",4151
-2.82,"C=Cc1ccccc1","no soluble",80
-1.63,"O=Cc2ccc1OCOc1c2 ","no soluble",4409
-3.458,"CCCCOC(=O)c1ccc(NC(C)=O)cc1","no soluble",2426
-5.8,"Clc1cccc(-c2cccc(Cl)c2)c1","no soluble",397
-2.82,"CCC1C2CC3C4N(C)c5ccccc5C45CC(C2C5O)N3C1O","no soluble",644
-0.74,"c1c(NO)cccc1","no soluble",3075
-3.1,"CNC(=N)NS(=O)(=O)c1ccc2ccccc2c1","no soluble",2434
-1.54,"Cc1c(O)cc(C)cc1","no soluble",3175
-2.536,"Nc1ccc2cccc(S(=O)(=O)O)c2c1","no soluble",2289
-4.67,"CCCCCCCCCCCCO","no soluble",1421
-4.31,"CC5(C)OC4CC3C2CCC1=CC(=O)C=CC1(C)C2(F)C(O)CC3(C)C4(O5)C(=O)CO ","no soluble",4618
-5.75,"CCOP(=S)(CC)Oc1cc(Cl)c(Cl)cc1Cl","no soluble",299
-1.97,"C1C=CCC=C1","no soluble",3259
-5.23,"Cc1c(C)c(C)c(C)c(C)c1C","no soluble",180
-1.84,"OC1C(C(CO)O)OC2C1OC(C(Cl)(Cl)Cl)O2","no soluble",3867
-3.95,"O=C(OCCCCCC)c1ccc(cc1)N","no soluble",3539
-5.266,"CCC(=O)C(CCCCCCOc1ccc(OC)cc1Cl)C(=O)CC","no soluble",2141
-4.15,"CC(C)(C)Cc1ccccc1","no soluble",113
-1.506,"Cc1c[nH]c(=O)[nH]c1=O ","no soluble",4182
-3.04,"FC(F)(Cl)C(F)(Cl)Cl","no soluble",563
-5.723,"CCCCCCCCC(CO[N+](=O)[O-])O[N+](=O)[O-]","no soluble",2134
1.02,"Oc1ccncc1","soluble",708
-5.06,"CCCCCCCCBr","no soluble",37
-3.498,"O=S1(=O)OC2(c3cc(O)ccc3Oc3ccc(O)cc32)c2ccccc21","no soluble",2611
-5.46,"OC1C=CC2C1C3(Cl)C(=C(Cl)C2(Cl)C3(Cl)Cl)Cl ","no soluble",4554
-4.56,"Brc1ccc(I)cc1","no soluble",599
-2,"ClC(Cl)(Cl)N(=O)=O","no soluble",4614
-3.314,"CC(=NNC(=O)c1ccncc1)C(=O)O","no soluble",2085
-2.92,"c1(OC)ccc(CC=C)cc1","no soluble",4447
-1.61,"CC(=O)c1ccc(N)cc1","no soluble",966
-1.19,"Cc1c(O)ccc(C)c1","no soluble",3127
-4.16,"C1CC2(C)C(CCC2=O)C2CCC3CC(CCC3(C)C12)O","no soluble",3566
-1.6,"CC(Cl)CCl","no soluble",518
-2.831,"Clc2ccc1oc(=O)[nH]c1c2","no soluble",4479
-8.54,"Clc1cc(Cl)cc(-c2cc(Cl)cc(Cl)c2)c1","no soluble",1757
-1.39,"Cn1c(=O)n(C)c2nc[nH]c2c1=O","no soluble",4135
-1.645,"CCN(CC)CCOC(=O)c1ccc(NC(C)=O)cc1","no soluble",2437
-1.489,"Cc1nc2cncnc2n(C)c1=O","no soluble",1940
-3.22,"O=C1NCCN1c1ncc([N+](=O)[O-])s1","no soluble",892
-5.35,"FC(F)(F)c1cc(ccc1)Nc2ccccc2C(=O)O","no soluble",4758
-2.86,"CN(C)C=Nc1ccc(Cl)cc1C","no soluble",4362
-6.29,"ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl","no soluble",230
-3.46,"COc1cc(Cl)c(Cl)cc1OC","no soluble",1694
-3.9,"C#CC(C)N(C)C(=O)Nc1ccc(Cl)cc1","no soluble",423
-4.65,"CC(=O)C3CCC4C2CC=C1CC(O)CCC1(C)C2CCC34C ","no soluble",4219
-3.11,"CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO","no soluble",1314
-0.82,"O=C(CC(=O)OCC)OCC","no soluble",3084
-0.6,"O=C1CCCCC1","no soluble",1153
-0.98,"CC(=O)Nc1ccc(N)cc1","no soluble",1028
-0.47,"CCC(C)CO","soluble",1439
-2.539,"CCCNC(=O)COC(=O)c1ccccc1","no soluble",2651
-1.63,"c1c(C=O)cc2c(OCO2)c1","no soluble",3198
-2.36,"CNC(=O)Oc1ccc(N(C)C)c(C)c1","no soluble",934
-7.15,"Clc1ccc(cc1)C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl","no soluble",4586
-1.63,"CC(=O)CC(=O)C(C)(C)C","no soluble",1171
-1.545,"OC(CN1CCCCC1)c1ccc(Cl)c2ccccc12","no soluble",2483
-0.3,"O=C(N)OCC(C)C","soluble",3037
-2.65,"O=C(O)Cc1cccc2ccccc12","no soluble",1490
-1.6,"O1CC1c1ccccc1","no soluble",3188
-3.27,"O=C(C)CCC1C(N(c2ccccc2)N(c2ccccc2)C1=O)=O","no soluble",3983
-1.73,"O=C1C=CC(O)(c2cc(O)ccc2O)C=C1","no soluble",1364
-4.473,"COc1ccc(C(=O)c2csc(S(N)(=O)=O)c2)cc1","no soluble",2568
-1.52,"CC(C)CCOC=O","no soluble",1224
-3.38,"CCCCCCCCC(=O)OC","no soluble",1279
-7,"Clc1ccc(Cl)c(-c2cc(Cl)ccc2Cl)c1","no soluble",313
-2.08,"CC(C)c1ccc(c(c1)O)C","no soluble",3271
-1.45,"CCCC[N+](=O)[O-]","no soluble",4847
-1.155,"Nc1cc[nH]c(=O)n1 ","no soluble",4484
-3.8,"CC(C)C1=CC2=CCC3C(C)(C(=O)O)CCCC3(C)C2CC1","no soluble",1478
-1.552,"CC(C)CNCc1cccc(S(=O)(=O)c2ccc(S(N)(=O)=O)s2)c1","no soluble",2943
0,"OCCCC","soluble",3775
-2.003,"CC(C)CNCc1ccc(C(=O)c2ccc(S(N)(=O)=O)s2)cc1","no soluble",2955
-0.31,"NC(N)=NC#N ","soluble",4613
-6.51,"Clc1ccccc1C(c1ccc(cc1)Cl)C(Cl)Cl","no soluble",3708
-3.67,"O=C(O)CCCOc1ccc(Cl)cc1Cl","no soluble",337
-2.367,"CCCCCN(C)N=Nc1ccc(C(=O)O)cc1","no soluble",2628
-0.96,"N#CCC=CC","no soluble",3104
-4.35,"CC(CCC(=O)O)C1CCC2C3C(O)C(O)C4CC(O)CCC4(C)C3CCC12C","no soluble",1375
1.08,"O=C(CC(C)N)O","soluble",2970
-2.891,"CSC(CCC(SC)C(=O)O)C(=O)O","no soluble",1993
-3.3,"CCCSC(=O)N(CCC)CCC","no soluble",1777
-1.579,"O=C(O)c1ccc(F)c([N+](=O)[O-])c1","no soluble",2178
-2.68,"NS(=O)(=O)c2cc1c(NC(NS1(=O)=O)C(Cl)Cl)cc2Cl ","no soluble",4542
-2.12,"[nH]1c2[nH0]c[nH0]c(N)c2[nH0]c1","no soluble",3278
-3.37,"C1C2CC(C3C(CC(C4(C)C(CCC34)C(C)CCC(O)=O)O)C2(C)CCC1O)O","no soluble",3477
-4.3,"O=C(C)OCC(C1(CCC2C3CCC4=CC(CCC4(C)C3C(CC12C)O)=O)O)=O","no soluble",3585
-2.44,"O=S(=O)(c1nnc(s1)NC(=O)C)N","no soluble",4736
-2.15,"O=C(N1C(=O)NCC1)NCC(C)C","no soluble",3282
-8.06,"Cc1cc(Cc2cc(Cl)ccc2Cl)c(Cl)cc1Cl","no soluble",1780
-5.89,"Cc1c2ccccc2cc3ccccc13","no soluble",4493
-3.73,"C=CCCCCC","no soluble",144
-1.46,"CC([N+](=O)[O-])(Cl)Cl","no soluble",4830
-5.65,"Clc1cc(Cl)c(Cl)c(Cl)c1Cl","no soluble",261
-1.83,"O=C(C)N=C1N(N=C(S1)[S+2]([O-])(N)[O-])C","no soluble",3231
0.35,"OC1C(O)C(O)C(O)C(O)C1O","soluble",1389
-2.6342,"CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C","no soluble",1798
-2.172,"C=CCC1(CCCC)C(=O)NC(=O)NC1=O","no soluble",2169
-5.4559,"NC(N)=Nc1nc(CSCCC(N)=NS(N)(=O)=O)cs1","no soluble",1816
-0.72,"O=C(C)OCCC","no soluble",3070
-5.64,"CCCCOC(=O)c1ccccc1C(=O)OCc1ccccc1","no soluble",1209
-0.85,"OCc1ccccc1OC1OC(CO)C(O)C(O)C1O","no soluble",1134
-1.6,"CC(C)CC(C)CO","no soluble",1440
-1.71,"CCCCC(CC)CN","no soluble",990
-2.99,"C1=C2C(C)CC3C4CCC(C4(C)CC(C3C2(C)C=CC1=O)O)(C(CO)=O)O","no soluble",3964
-1.45,"OC(=O)C1CCCCC1","no soluble",3844
-7.26,"CCCCCCCCCCCCCCCCO","no soluble",1418
-2.8,"Cc1c(Cl)c(C)cc(c1)O","no soluble",3394
-0.77,"CCOCCOCC","no soluble",1227
-2.33,"CC(=C)C","no soluble",4410
-4.01,"COC(=O)c1ccc(C(=O)OC)cc1","no soluble",1697
-4.328,"CN(C)C(=O)Nc1ccc(c(Cl)c1)n2nc(oc2=O)C(C)(C)C","no soluble",4315
0.02,"c1c2c([nH0]cc[nH0]2)[nH0]c[nH0]1","soluble",3013
-2.09,"CN(C)C(=O)Oc1cc(C)nn1c2ccccc2","no soluble",4271
-2.57,"CCCC","no soluble",150
-2.77,"Cc1ccc(C)cc1","no soluble",194
-4.42,"O=C4\C=C2/[C@]([C@H]1CC[C@@]3([C@@H](C(=O)C)CC[C@H]3[C@@H]1CC2)C)(C)CC4","no soluble",4780
-3.54,"c1c(C(C)C)ccc(c1)NC(N(C)C)=O","no soluble",3994
-2.09,"C=CC=C(C)C=CC=CC","no soluble",1698
0.02,"n1c2c(ncc1)ncnc2","soluble",4820
-2.5125,"CN(C)CCOC(c1ccccc1)c1ccccc1","no soluble",1814
-2.484,"Cc1[nH]c(=O)n(c(=O)c1Cl)C(C)(C)C","no soluble",4526
-1.31,"c1c(C)c(O)c(cc1)C","no soluble",3834
-6.29,"ClC4=C(Cl)C5(Cl)C3C1CC(C2OC12)C3C4(Cl)C5(Cl)Cl","no soluble",4127
-2.89,"CC(C)CCBr","no soluble",44
-2.54,"[nH0]1c(OC)cc([nH0]c1C)N[S+2]([O-])(c1ccc(cc1)N)[O-]","no soluble",3356
-4.16,"OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1","no soluble",383
-3.37,"C=CC1C2CCN(C1)C(C2)C(c1cc[nH0]c2ccc(cc12)OC)O","no soluble",3479
-4.24,"c1(C(C)(C)C)cc(C(C)(C)C)cc(OC(=O)NC)c1","no soluble",4714
-4.31,"CCCCCCCCCCCCCCC(=O)O","no soluble",1495
-1.8,"OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F","no soluble",543
0.39,"OC1C(COC(C1O)O)O","soluble",2995
-0.12,"CC(=O)C(C)C","soluble",1196
-2.8978,"CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21","no soluble",1827
-3,"CCOC(=O)C=Cc1ccccc1","no soluble",1249
-0.52,"CC(C)CCO","soluble",1433
-8.4,"FC(F)(F)c1cccc(C(c2ccccc2)(c2ccccc2)n2cncn2)c1","no soluble",573
-4.52,"CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1","no soluble",569
-1.64,"c1ccccc1","no soluble",111
-6.49,"CCCN(CCC)c1c(cc(cc1N(=O)=O)C(C)C)N(=O)=O","no soluble",4287
-5.312,"CNC1CN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C1","no soluble",2715
-0.04,"CCOC(=O)C","soluble",4237
-6.32,"ClC1=C(Cl)C2(Cl)C3C(Cl)C=CC3C1(Cl)C2(Cl)Cl","no soluble",235
-1.99,"CC12CCC(CC2=O)C1(C)C","no soluble",3884
-1.789,"CCC(C)CN(C)N=Nc1ccc(C(=O)O)cc1","no soluble",2602
-1.27,"CCC(C)(O)C(C)(C)C","no soluble",1391
