"logS","smiles","Category"
-1.09,"CCBr","no soluble"
-1.5,"C=CCBr","no soluble"
-2.43,"CC(C)CBr","no soluble"
-0.89,"ClCBr","no soluble"
-0.79,"CBr","no soluble"
-1.91,"BrC(Br)Br","no soluble"
-1.9,"ClC(Br)Br","no soluble"
-2.38,"ClCC(Br)CBr","no soluble"
-2.15,"CC(Br)CBr","no soluble"
-1.59,"CC(C)Br","no soluble"
-1.71,"FC(F)(F)C(Cl)Br","no soluble"
-1.54,"ClC(Cl)Br","no soluble"
-1.32,"BrC=CBr","no soluble"
-9.33,"c1cc2ccc3ccc4ccc5ccc6ccc1c1c2c3c4c5c61","no soluble"
-9.03,"c1cc2ccc3ccc4ccc5cccc6c(c1)c2c3c4c56","no soluble"
-7.8,"c1ccc2c(c1)c1cccc3ccc4cccc2c4c31","no soluble"
-8.19,"c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34","no soluble"
-6.19,"c1cc2ccc3cccc4ccc(c1)c2c34","no soluble"
-7.87,"c1ccc2c(c1)ccc1c2ccc2c3ccccc3ccc21","no soluble"
-8.23,"c1ccc2c(c1)-c1cccc3c1c-2cc1ccccc13","no soluble"
-8.66,"c1ccc2c(c1)ccc1cc3c(ccc4ccccc43)cc12","no soluble"
-5.26,"c1ccc2c(c1)ccc1ccccc12","no soluble"
-8,"c1ccc2c3c(ccc2c1)-c1cccc2cccc-3c12","no soluble"
-8.8,"c1cc2cccc3c4cccc5cccc(c(c1)c23)c54","no soluble"
-8.49,"c1ccc2cc3c(cc2c1)-c1cccc2cccc-3c12","no soluble"
-6,"c1ccc2c(c1)-c1cccc3cccc-2c13","no soluble"
-6.74,"c1ccc2c(c1)c1ccccc1c1ccccc21","no soluble"
-8.06,"c1ccc2c(c1)ccc1c3ccccc3ccc21","no soluble"
-8.6,"c1ccc2cc3cc4ccccc4cc3cc2c1","no soluble"
-6.35,"c1ccc2cc3ccccc3cc2c1","no soluble"
-3.6,"c1ccc2ccccc2c1","no soluble"
-4.48,"CC1CCC(C)(C)C1","no soluble"
-7.11,"c1ccc(-c2ccc(-c3ccccc3)cc2)cc1","no soluble"
-4.31,"c1ccc(-c2ccccc2)cc1","no soluble"
-2.82,"C=Cc1ccccc1","no soluble"
-6.68,"c1ccc2c(c1)Cc1c-2ccc2ccccc12","no soluble"
-8.04,"c1ccc2c(c1)Cc1cc3ccccc3cc1-2","no soluble"
-5.22,"Cc1cccc2c1Cc1ccccc1-2","no soluble"
-4.91,"c1ccc2c(c1)Cc1ccccc1-2","no soluble"
-5.96,"c1cc2c3c(ccc4c3c1CCC4)CCC2","no soluble"
-7.92,"Cc1ccc2c(ccc3c4c5c(cccc5cc32)CC4)c1","no soluble"
-7.92,"Cc1ccc2cc3c(ccc4ccccc43)c3c2c1CC3","no soluble"
-7.85,"c1cc2c3c(c4ccc5ccccc5c4cc3c1)CC2","no soluble"
-4.63,"c1cc2c3c(cccc3c1)CC2","no soluble"
-3.04,"c1ccc2c(c1)CCC2","no soluble"
-4.37,"c1ccc2c(c1)CCCC2","no soluble"
-2.64,"C1CCCC1","no soluble"
-3.1,"C1CCCCC1","no soluble"
-3.52,"C1CCCCCC1","no soluble"
-4.15,"C1CCCCCCC1","no soluble"
-3.27,"CC1=CCCCC1","no soluble"
-2.59,"C1=CCCCC1","no soluble"
-3.18,"C1=CCCCCC1","no soluble"
-2.1,"C1=CCCC1","no soluble"
-1.97,"C1=CCC=CC1","no soluble"
-2.15,"C1=CC=CCC=C1","no soluble"
-6.08,"CCCCCC1CCCC1","no soluble"
-4.74,"CCCC1CCCC1","no soluble"
-3.3,"CC1CCCC1","no soluble"
-4.25,"CCC1CCCCC1","no soluble"
-3.85,"CC1CCCCC1","no soluble"
-4.47,"CC1CCC(C)CC1","no soluble"
-4,"C=C(C)C1CC=C(C)CC1","no soluble"
-5.19,"C1CCC2CCCCC2C1","no soluble"
-4.27,"CC1CCCCC1C","no soluble"
-1.64,"c1ccccc1","no soluble"
-3.96,"C1=Cc2cccc3cccc1c23","no soluble"
-4.15,"CC(C)(C)Cc1ccccc1","no soluble"
-4.36,"CCCC(C)(C)C","no soluble"
-5.05,"CC(C)CCC(C)(C)C","no soluble"
-4.23,"CCC(C)(C)CC","no soluble"
-4.15,"CCC(C)(C)c1ccccc1","no soluble"
-3.55,"CCC(C)(C)C","no soluble"
-4.74,"CC(C)CC(C)(C)C","no soluble"
-3.66,"CC(C)(C)c1ccccc1","no soluble"
-4.36,"CC(C)C(C)(C)C","no soluble"
-4.17,"c1ccc(Cc2ccccc2)cc1","no soluble"
-0.4,"C=C","soluble"
-4.62,"c1ccc(CCc2ccccc2)cc1","no soluble"
-3.37,"CCCc1ccccc1","no soluble"
-3.03,"C=C(C)CCC","no soluble"
-1.64,"C#CCCC","no soluble"
-4.64,"CCCCCc1ccccc1","no soluble"
-3.01,"C#CCCCCC","no soluble"
-4.24,"C#CCCCCCCC","no soluble"
-8.33,"CCCCCCCCCCCCCCCCCCCCCCCCCC","no soluble"
-8.17,"CCCCCCCCCCCCCCCCCCCC","no soluble"
-8.4,"CCCCCCCCCCCCCCCC","no soluble"
-7.96,"CCCCCCCCCCCCCC","no soluble"
-5.88,"CCCCCCCCC","no soluble"
-5.51,"C=CCCCCCCCC","no soluble"
-5.24,"CCCCCCCC","no soluble"
-5.05,"C=CCCCCCCC","no soluble"
-5.21,"CCCCCCc1ccccc1","no soluble"
-3.66,"C#CCCCCCC","no soluble"
-4.53,"CCCCCCC","no soluble"
-4.44,"C=CCCCCCC","no soluble"
-3.84,"CCCCCC","no soluble"
-3.73,"C=CCCCCC","no soluble"
-4.06,"CCCCc1ccccc1","no soluble"
-2.36,"C#CCCCC","no soluble"
-3.18,"CCCCC","no soluble"
-3.23,"C=CCCCC","no soluble"
-3.82,"CC=CCCCC","no soluble"
-2.57,"CCCC","no soluble"
-2.68,"C=CCCC","no soluble"
-2.68,"C=CCCC=C","no soluble"
-4.17,"CCc1cccc2ccccc12","no soluble"
-3.28,"CCc1ccccc1CC","no soluble"
-3.21,"CCc1ccccc1C","no soluble"
-6.89,"CCc1ccc2cc3ccccc3cc2c1","no soluble"
-4.29,"CCc1ccc2ccccc2c1","no soluble"
-3.75,"CCc1ccc(CC)cc1","no soluble"
-3.11,"CCc1ccc(C)cc1","no soluble"
-2.77,"CCc1ccccc1","no soluble"
-1.99,"CCC#CCC","no soluble"
-1.24,"C#CCC","no soluble"
-2.73,"C=C(C)CC","no soluble"
-1.94,"CCC","no soluble"
-1.94,"C=CCC","no soluble"
-2.54,"CC=CCC","no soluble"
-2.09,"C=CCC=C","no soluble"
-7.02,"Cc1c2ccccc2c(C)c2c1ccc1ccccc12","no soluble"
-6.57,"Cc1cc2c3ccccc3ccc2c2ccccc12","no soluble"
-7.01,"Cc1c(C)c2c3ccccc3ccc2c2ccccc12","no soluble"
-6.59,"Cc1cc2ccccc2c2ccc3ccccc3c12","no soluble"
-5.85,"Cc1cccc2c1ccc1ccccc12","no soluble"
-6.57,"Cc1c2ccccc2c(C)c2ccccc12","no soluble"
-4.92,"Cc1ccc(C)c2c(C)cccc12","no soluble"
-4.14,"Cc1ccc(C)c2ccccc12","no soluble"
-4.74,"Cc1cccc2c(C)cccc12","no soluble"
-5.89,"Cc1c2ccccc2cc2ccccc12","no soluble"
-4.29,"Cc1cc(C)c2ccccc2c1","no soluble"
-3.7,"Cc1cccc2ccccc12","no soluble"
-5.23,"Cc1c(C)c(C)c(C)c(C)c1C","no soluble"
-4,"Cc1cc(C)c(C)c(C)c1C","no soluble"
-4.72,"Cc1cc2ccccc2cc1C","no soluble"
-4.59,"Cc1cc(C)c(C)cc1C","no soluble"
-3.31,"Cc1ccc(C)c(C)c1","no soluble"
-3.2,"Cc1cccc(C)c1C","no soluble"
-2.8,"Cc1ccccc1C","no soluble"
-5.84,"Cc1ccc2c(ccc3ccccc32)c1","no soluble"
-6.96,"Cc1ccc2cc3ccccc3cc2c1","no soluble"
-4.89,"Cc1ccc2cc(C)ccc2c1","no soluble"
-3.77,"Cc1ccc2ccccc2c1","no soluble"
-3.4,"Cc1cc(C)cc(C)c1","no soluble"
-2.82,"Cc1cccc(C)c1","no soluble"
-4.62,"Cc1ccc(-c2ccccc2)cc1","no soluble"
-2.77,"Cc1ccc(C)cc1","no soluble"
-2.21,"Cc1ccccc1","no soluble"
-0.41,"C#CC","soluble"
-2.4,"C=C(C)C(=C)C","no soluble"
-2.33,"C=C(C)C","no soluble"
-2.03,"C=CC(=C)C","no soluble"
-2.56,"CC=C(C)C","no soluble"
-1.36,"CC","no soluble"
-1.08,"C=CC","no soluble"
-0.9,"C","no soluble"
0.29,"C#C","soluble"
-4.12,"CC(C)Cc1ccccc1","no soluble"
-5.08,"CCCCCC(C)C","no soluble"
-5.16,"CCCCC(C)CC","no soluble"
-3.74,"CCCC(C)C","no soluble"
-3.68,"CCC(C)CC","no soluble"
-3.89,"CCC(C)c1ccccc1","no soluble"
-3.18,"CCC(C)C","no soluble"
-1.87,"C=CC=C","no soluble"
-3.24,"C=CCC(C)C","no soluble"
-4.26,"CC(C)CC(C)C","no soluble"
-3.76,"Cc1ccccc1C(C)C","no soluble"
-3.77,"Cc1ccc(C(C)C)cc1","no soluble"
-3.27,"CC(C)c1ccccc1","no soluble"
-2.55,"CC(C)C","no soluble"
-2.73,"C=CC(C)C","no soluble"
-4.28,"CCC(C)C(C)C","no soluble"
-3.65,"CC(C)C(C)C","no soluble"
-4.8,"CC(C)C(C)C(C)C","no soluble"
-5.26,"O=C1C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl","no soluble"
-6.8,"ClC1(Cl)C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl","no soluble"
-4.61,"COC1=CC(=O)CC(C)C12Oc1c(Cl)c(OC)cc(OC)c1C2=O","no soluble"
-2.88,"CN(C)C1C(O)=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4C(C)(O)C3CC12","no soluble"
-2.52,"CN(C)C1C(O)=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4C(O)C3CC12","no soluble"
-3.93,"Clc1cccc2ccccc12","no soluble"
-2.61,"O=C(O)Cn1c(=O)sc2cccc(Cl)c21","no soluble"
-6.29,"ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl","no soluble"
-6.29,"ClC1=C(Cl)C2(Cl)C3C4OC4C(Cl)C3C1(Cl)C2(Cl)Cl","no soluble"
-7.33,"ClC1=C(Cl)C2(Cl)C3C4C=CC(C4)C3C1(Cl)C2(Cl)Cl","no soluble"
-6.86,"ClC1=C(Cl)C2(Cl)C3C(Cl)C(Cl)CC3C1(Cl)C2(Cl)Cl","no soluble"
-5.64,"ClC1=C(Cl)C2(Cl)C3CC=CC3C1(Cl)C2(Cl)Cl","no soluble"
-6.32,"ClC1=C(Cl)C2(Cl)C3C(Cl)C=CC3C1(Cl)C2(Cl)Cl","no soluble"
-5.46,"OC1C=CC2C1C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl","no soluble"
-5.43,"Clc1c(Cl)c(Cl)c2nccnc2c1Cl","no soluble"
-4.98,"Clc1cc(Cl)c2nsnc2c1Cl","no soluble"
-11.62,"Clc1c(Cl)c(Cl)c(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1Cl","no soluble"
-10.26,"Clc1cc(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c(Cl)c1Cl","no soluble"
-10.41,"Clc1cc(Cl)c(Cl)c(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c1Cl","no soluble"
-7.92,"Clc1ccc(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1","no soluble"
-8.94,"Clc1ccc(Cl)c(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c1","no soluble"
-7.92,"Clc1c(Cl)c(Cl)c(-c2ccccc2)c(Cl)c1Cl","no soluble"
-4.28,"Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl","no soluble"
-5.64,"N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl","no soluble"
-4.02,"COc1c(O)c(Cl)c(Cl)c(Cl)c1Cl","no soluble"
-8.3,"Clc1ccc(-c2c(Cl)cc(Cl)c(Cl)c2Cl)c(Cl)c1Cl","no soluble"
-7.92,"Clc1cc(Cl)c(-c2c(Cl)cc(Cl)c(Cl)c2Cl)cc1Cl","no soluble"
-7.43,"Clc1ccccc1-c1c(Cl)cc(Cl)c(Cl)c1Cl","no soluble"
-7.66,"Clc1ccc(-c2c(Cl)cc(Cl)c(Cl)c2Cl)cc1Cl","no soluble"
-3.1,"Oc1c(Cl)cc(Cl)c(Cl)c1Cl","no soluble"
-1.7,"COc1c(Cl)ccc(Cl)c1C(=O)O","no soluble"
-9.16,"Clc1cc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c(Cl)c1Cl","no soluble"
-8.42,"Clc1cccc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c1Cl","no soluble"
-7.39,"Clc1ccc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1","no soluble"
-7.68,"Clc1ccc(Cl)c(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c1","no soluble"
-7.21,"Clc1ccccc1-c1cc(Cl)c(Cl)c(Cl)c1Cl","no soluble"
-7.82,"Clc1ccc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)cc1Cl","no soluble"
-7.16,"Clc1cc(-c2ccccc2)c(Cl)c(Cl)c1Cl","no soluble"
-5.65,"Clc1cc(Cl)c(Cl)c(Cl)c1Cl","no soluble"
-3.15,"Oc1cc(Cl)c(Cl)c(Cl)c1Cl","no soluble"
-8.71,"Clc1cc(Cl)c(-c2c(Cl)cc(Cl)cc2Cl)c(Cl)c1","no soluble"
-7.32,"Clc1cc(Cl)c(-c2c(Cl)cccc2Cl)c(Cl)c1","no soluble"
-6.14,"Clc1cc(Cl)c(-c2ccccc2)c(Cl)c1","no soluble"
-2.34,"Oc1c(Cl)cc(Cl)cc1Cl","no soluble"
-8.01,"Clc1ccc(-c2ccc(Cl)c(Cl)c2Cl)c(Cl)c1Cl","no soluble"
-7.05,"Clc1cccc(-c2ccc(Cl)c(Cl)c2Cl)c1Cl","no soluble"
-8.32,"Clc1cc(Cl)c(-c2ccc(Cl)c(Cl)c2Cl)cc1Cl","no soluble"
-7.8,"Clc1ccc(-c2ccc(Cl)c(Cl)c2Cl)c(Cl)c1","no soluble"
-7.91,"Clc1ccc(Cl)c(-c2ccc(Cl)c(Cl)c2Cl)c1","no soluble"
-7.05,"Clc1ccc(-c2ccc(Cl)c(Cl)c2Cl)cc1Cl","no soluble"
-4.57,"Clc1ccc(Cl)c(Cl)c1Cl","no soluble"
-2.67,"Oc1ccc(Cl)c(Cl)c1Cl","no soluble"
-6.8,"Clc1ccc(Cl)c(-c2c(Cl)cccc2Cl)c1","no soluble"
-7.39,"Clc1cccc(Cl)c1-c1c(Cl)cccc1Cl","no soluble"
-6.14,"Clc1ccc(-c2c(Cl)cccc2Cl)cc1","no soluble"
-5.21,"Clc1cccc(Cl)c1-c1ccccc1","no soluble"
-2.1,"OCc1c(Cl)cccc1Cl","no soluble"
-4.24,"N#Cc1c(Cl)cccc1Cl","no soluble"
-1.79,"Oc1c(Cl)cccc1Cl","no soluble"
-2.62,"NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O","no soluble"
-3.78,"Cc1ccccc1N1C(=O)c2cc(S(N)(=O)=O)c(Cl)cc2NC1C","no soluble"
-3.29,"CCC1NC(=O)c2cc(S(N)(=O)=O)c(Cl)cc2N1","no soluble"
-3.05,"NS(=O)(=O)c1cc2c(cc1Cl)N=CNS2(=O)=O","no soluble"
-9.15,"Clc1cc(Cl)c(Cl)c(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1Cl","no soluble"
-8.6,"Clc1cccc(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1Cl","no soluble"
-7.42,"Clc1ccc(Cl)c(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1","no soluble"
-3.37,"Oc1c(Cl)c(Cl)cc(Cl)c1Cl","no soluble"
-8.56,"Clc1cc(Cl)c(-c2cc(Cl)c(Cl)cc2Cl)cc1Cl","no soluble"
-7.89,"Clc1ccc(Cl)c(-c2cc(Cl)c(Cl)cc2Cl)c1","no soluble"
-7.39,"Clc1ccc(-c2cc(Cl)c(Cl)cc2Cl)cc1Cl","no soluble"
-6.27,"Clc1cc(Cl)c(-c2ccccc2)cc1Cl","no soluble"
-5.56,"Clc1cc(Cl)c(Cl)cc1Cl","no soluble"
-4.52,"COP(=O)(OC)OC(=CCl)c1cc(Cl)c(Cl)cc1Cl","no soluble"
-2.96,"O=C(O)COc1cc(Cl)c(Cl)cc1Cl","no soluble"
-5.69,"CC(C)Oc1cc(-n2nc(C(C)(C)C)oc2=O)c(Cl)cc1Cl","no soluble"
-2.21,"Oc1cc(Cl)c(Cl)cc1Cl","no soluble"
-5.75,"CCOP(=S)(CC)Oc1cc(Cl)c(Cl)cc1Cl","no soluble"
-5.72,"COP(=S)(OC)Oc1cc(Cl)c(Cl)cc1Cl","no soluble"
-3.18,"CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC","no soluble"
-3.66,"NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl","no soluble"
-2.53,"COc1cc(Cl)c(Cl)cc1O","no soluble"
-3.79,"Cc1cccc(C)c1NC(=O)c1cc(S(N)(=O)=O)c(Cl)cc1O","no soluble"
-8.6,"Clc1cc(Cl)c(Cl)c(-c2cc(Cl)c(Cl)cc2Cl)c1","no soluble"
-8.71,"Clc1cc(Cl)c(-c2cc(Cl)cc(Cl)c2Cl)c(Cl)c1","no soluble"
-2.8,"Cc1cc(O)cc(C)c1Cl","no soluble"
-4.63,"Clc1cc(Cl)c(Cl)c(Cl)c1","no soluble"
-3.26,"COC(=O)c1cc(Cl)cc(N)c1Cl","no soluble"
-2.47,"Nc1cc(Cl)cc(C(=O)O)c1Cl","no soluble"
-2.67,"Oc1cc(Cl)cc(Cl)c1Cl","no soluble"
-3.45,"NS(=O)(=O)c1cc(C2(O)NC(=O)c3ccccc32)ccc1Cl","no soluble"
-7,"Clc1ccc(Cl)c(-c2cc(Cl)ccc2Cl)c1","no soluble"
-6.02,"Clc1ccc(Cl)c(-c2ccccc2Cl)c1","no soluble"
-6.01,"Clc1cccc(-c2cc(Cl)ccc2Cl)c1","no soluble"
-6.25,"Clc1ccc(-c2cc(Cl)ccc2Cl)cc1","no soluble"
-3.59,"CC1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1","no soluble"
-1.57,"Cc1cc(O)ccc1Cl","no soluble"
-8.65,"Clc1ccc(Cl)c(-c2c(Cl)ccc(Cl)c2Cl)c1Cl","no soluble"
-8.65,"Clc1cc(Cl)c(-c2c(Cl)ccc(Cl)c2Cl)cc1Cl","no soluble"
-7.43,"Clc1ccc(-c2c(Cl)ccc(Cl)c2Cl)c(Cl)c1","no soluble"
-6.29,"Clc1ccc(Cl)c(-c2ccccc2)c1Cl","no soluble"
-3.08,"O=C(O)Cc1c(Cl)ccc(Cl)c1Cl","no soluble"
-2.64,"Oc1c(Cl)ccc(Cl)c1Cl","no soluble"
-7.8,"Clc1ccc(-c2ccc(Cl)c(Cl)c2)c(Cl)c1","no soluble"
-7.25,"Clc1ccc(Cl)c(-c2ccc(Cl)c(Cl)c2)c1","no soluble"
-6.29,"Clc1ccc(-c2ccccc2Cl)cc1Cl","no soluble"
-4.92,"Nc1ccc(-c2ccc(N)c(Cl)c2)cc1Cl","no soluble"
-6.39,"Clc1ccc(-c2ccccc2)cc1Cl","no soluble"
-6.51,"Clc1ccc(-c2ccc(Cl)cc2Cl)c(Cl)c1","no soluble"
-6.57,"Clc1ccc(-c2cc(Cl)ccc2Cl)c(Cl)c1","no soluble"
-6.21,"Clc1ccc(-c2ccc(Cl)cc2Cl)cc1","no soluble"
-5.25,"Clc1ccc(-c2ccccc2)c(Cl)c1","no soluble"
-3.49,"CCCC1COC(Cn2cncn2)(c2ccc(Cl)cc2Cl)O1","no soluble"
-3.59,"Clc1ccc(Cl)c(Cl)c1","no soluble"
-4.46,"Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl","no soluble"
-3.67,"O=C(O)CCCOc1ccc(Cl)cc1Cl","no soluble"
-2.51,"O=C(O)COc1ccc(Cl)cc1Cl","no soluble"
-2.45,"CC(Oc1ccc(Cl)cc1Cl)C(=O)O","no soluble"
-1.55,"Oc1ccc(Cl)cc1Cl","no soluble"
-2.82,"Cn1c(=O)on(-c2ccc(Cl)c(Cl)c2)c1=O","no soluble"
-3.24,"Nc1ccc(Cl)c(Cl)c1","no soluble"
-3,"CCC(=O)Nc1ccc(Cl)c(Cl)c1","no soluble"
-4.77,"CCCCN(C)C(=O)Nc1ccc(Cl)c(Cl)c1","no soluble"
-3.46,"Cc1ccc(NC(=O)N(C)C)cc1Cl","no soluble"
-3.8,"CN(C)C(=O)Nc1ccc(Cl)c(Cl)c1","no soluble"
-4.33,"CN(C)C(=O)Nc1ccc(-n2nc(C(C)(C)C)oc2=O)c(Cl)c1","no soluble"
-2.56,"COc1ccc(NC(=O)N(C)C)cc1Cl","no soluble"
-3.52,"CON(C)C(=O)Nc1ccc(Cl)c(Cl)c1","no soluble"
-1.25,"Oc1ccc(Cl)c(Cl)c1","no soluble"
-7.28,"Clc1cccc(-c2cccc(Cl)c2Cl)c1Cl","no soluble"
-7.21,"Clc1cc(Cl)c(-c2cccc(Cl)c2Cl)cc1Cl","no soluble"
-6.47,"Clc1ccc(Cl)c(-c2cccc(Cl)c2Cl)c1","no soluble"
-6.26,"Clc1ccc(-c2cccc(Cl)c2Cl)cc1","no soluble"
-4,"Clc1cccc(Cl)c1Cl","no soluble"
-1.3,"Oc1cccc(Cl)c1Cl","no soluble"
-5.27,"Clc1ccccc1-c1ccccc1Cl","no soluble"
-5.28,"Clc1ccc(-c2ccccc2Cl)cc1","no soluble"
-4.54,"Clc1ccccc1-c1ccccc1","no soluble"
-4.08,"Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1Cl)=NC2","no soluble"
-3.6,"O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O","no soluble"
-6.36,"ClC(Cl)=C(c1ccc(Cl)cc1)c1ccccc1Cl","no soluble"
-2.34,"CC1(C)CON(Cc2ccccc2Cl)C1=O","no soluble"
-3.52,"Cc1ccccc1Cl","no soluble"
-3.05,"Clc1ccccc1Cl","no soluble"
-4.38,"OC(c1ccc(Cl)cc1)(c1cncnc1)c1ccccc1Cl","no soluble"
-1.89,"O=C(O)c1ccccc1Cl","no soluble"
-1.52,"Nc1ccccc1Cl","no soluble"
-1.4,"CC(=O)Nc1ccccc1Cl","no soluble"
-2.16,"O=C(O)COc1ccccc1Cl","no soluble"
-2.46,"COc1ccccc1Cl","no soluble"
-2.22,"CC(Oc1ccccc1Cl)C(=O)O","no soluble"
-1.06,"Oc1ccccc1Cl","no soluble"
-4.18,"COC(=O)C1(O)c2ccccc2-c2ccc(Cl)cc21","no soluble"
-4.18,"O=C(O)C1(O)c2ccccc2-c2ccc(Cl)cc21","no soluble"
-4.14,"Clc1ccc2ccccc2c1","no soluble"
-3.75,"CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21","no soluble"
-5.23,"CCOP(=S)(OCC)SCn1c(=O)oc2cc(Cl)ccc21","no soluble"
-5.36,"CCN1c2cc(Cl)ccc2NC(=O)c2cccnc21","no soluble"
-3.95,"O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O","no soluble"
-2.83,"O=c1[nH]c2cc(Cl)ccc2o1","no soluble"
-4.7,"CC(=O)OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1","no soluble"
-4.16,"OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1","no soluble"
-4.4,"CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1","no soluble"
-5.01,"CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21","no soluble"
-4.57,"O=C(OCC(O)CO)c1ccccc1Nc1ccnc2cc(Cl)ccc12","no soluble"
-2.86,"Cc1cc(Cl)ccc1N=CN(C)C","no soluble"
-2.23,"Cc1cc(Cl)ccc1OCC(=O)O","no soluble"
-5.09,"COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1","no soluble"
-2.55,"Cc1cc(Cl)ccc1OC(C)C(=O)O","no soluble"
-3.95,"Oc1ccc(Cl)cc1Cc1cc(Cl)ccc1O","no soluble"
